driverId,raceId,milliseconds,year,name,driverRef,constructorId,constructorRef,rank
847,1108,98618.15384615384,2023,British Grand Prix,russell,131.0,mercedes,7.0
815,1108,98650.38461538461,2023,British Grand Prix,perez,9.0,red_bull,8.0
4,1108,98733.28846153847,2023,British Grand Prix,alonso,117.0,aston_martin,9.0
848,1108,98746.46153846153,2023,British Grand Prix,albon,3.0,williams,10.0
844,1108,98762.05769230769,2023,British Grand Prix,leclerc,6.0,ferrari,11.0
832,1108,98776.65384615384,2023,British Grand Prix,sainz,6.0,ferrari,12.0
840,1108,98835.01923076923,2023,British Grand Prix,stroll,117.0,aston_martin,13.0
858,1108,98857.11538461539,2023,British Grand Prix,sargeant,3.0,williams,14.0
822,1108,98899.38461538461,2023,British Grand Prix,bottas,51.0,alfa,15.0
807,1108,98915.40384615384,2023,British Grand Prix,hulkenberg,210.0,haas,16.0
855,1108,98976.11538461539,2023,British Grand Prix,zhou,51.0,alfa,17.0
852,1108,99003.13461538461,2023,British Grand Prix,tsunoda,213.0,alphatauri,18.0
856,1108,99039.73076923077,2023,British Grand Prix,de_vries,213.0,alphatauri,19.0
842,1108,101208.45652173914,2023,British Grand Prix,gasly,214.0,alpine,20.0
830,1109,84123.34285714285,2023,Hungarian Grand Prix,max_verstappen,9.0,red_bull,1.0
846,1109,84605.21428571429,2023,Hungarian Grand Prix,norris,1.0,mclaren,2.0
815,1109,84660.52857142857,2023,Hungarian Grand Prix,perez,9.0,red_bull,3.0
1,1109,84682.4,2023,Hungarian Grand Prix,hamilton,131.0,mercedes,4.0
857,1109,85017.22857142857,2023,Hungarian Grand Prix,piastri,1.0,mclaren,5.0
844,1109,85056.44285714286,2023,Hungarian Grand Prix,leclerc,6.0,ferrari,6.0
847,1109,85063.7,2023,Hungarian Grand Prix,russell,131.0,mercedes,7.0
832,1109,85138.67142857143,2023,Hungarian Grand Prix,sainz,6.0,ferrari,8.0
4,1109,85204.9,2023,Hungarian Grand Prix,alonso,117.0,aston_martin,9.0
840,1109,85554.33333333333,2023,Hungarian Grand Prix,stroll,117.0,aston_martin,10.0
848,1109,85764.07246376811,2023,Hungarian Grand Prix,albon,3.0,williams,11.0
822,1109,85778.44927536232,2023,Hungarian Grand Prix,bottas,51.0,alfa,12.0
817,1109,85867.98550724638,2023,Hungarian Grand Prix,ricciardo,213.0,alphatauri,13.0
807,1109,86085.97101449275,2023,Hungarian Grand Prix,hulkenberg,210.0,haas,14.0
852,1109,86089.52173913043,2023,Hungarian Grand Prix,tsunoda,213.0,alphatauri,15.0
855,1109,86219.20289855072,2023,Hungarian Grand Prix,zhou,51.0,alfa,16.0
858,1109,86406.32835820895,2023,Hungarian Grand Prix,sargeant,3.0,williams,17.0
825,1109,86536.01449275362,2023,Hungarian Grand Prix,kevin_magnussen,210.0,haas,18.0
839,1109,104073.0,2023,Hungarian Grand Prix,ocon,214.0,alpine,19.0
842,1109,124981.0,2023,Hungarian Grand Prix,gasly,214.0,alpine,20.0
830,1110,112510.22727272728,2023,Belgian Grand Prix,max_verstappen,9.0,red_bull,1.0
815,1110,113017.15909090909,2023,Belgian Grand Prix,perez,9.0,red_bull,2.0
844,1110,113243.38636363637,2023,Belgian Grand Prix,leclerc,6.0,ferrari,3.0
1,1110,113639.11363636363,2023,Belgian Grand Prix,hamilton,131.0,mercedes,4.0
4,1110,113787.13636363637,2023,Belgian Grand Prix,alonso,117.0,aston_martin,5.0
847,1110,113944.34090909091,2023,Belgian Grand Prix,russell,131.0,mercedes,6.0
846,1110,114185.65909090909,2023,Belgian Grand Prix,norris,1.0,mclaren,7.0
839,1110,114208.38636363637,2023,Belgian Grand Prix,ocon,214.0,alpine,8.0
840,1110,114313.40909090909,2023,Belgian Grand Prix,stroll,117.0,aston_martin,9.0
852,1110,114333.43181818182,2023,Belgian Grand Prix,tsunoda,213.0,alphatauri,10.0
842,1110,114398.5,2023,Belgian Grand Prix,gasly,214.0,alpine,11.0
822,1110,114446.38636363637,2023,Belgian Grand Prix,bottas,51.0,alfa,12.0
855,1110,114679.34090909091,2023,Belgian Grand Prix,zhou,51.0,alfa,13.0
848,1110,114696.22727272728,2023,Belgian Grand Prix,albon,3.0,williams,14.0
825,1110,114822.81818181818,2023,Belgian Grand Prix,kevin_magnussen,210.0,haas,15.0
817,1110,114852.75,2023,Belgian Grand Prix,ricciardo,213.0,alphatauri,16.0
858,1110,114884.68181818182,2023,Belgian Grand Prix,sargeant,3.0,williams,17.0
807,1110,115020.45454545454,2023,Belgian Grand Prix,hulkenberg,210.0,haas,18.0
832,1110,117123.69565217392,2023,Belgian Grand Prix,sainz,6.0,ferrari,19.0
855,1111,84215.16129032258,2023,Dutch Grand Prix,zhou,51.0,alfa,1.0
844,1111,87349.87804878049,2023,Dutch Grand Prix,leclerc,6.0,ferrari,2.0
858,1111,93030.57142857143,2023,Dutch Grand Prix,sargeant,3.0,williams,3.0
830,1111,120061.26388888889,2023,Dutch Grand Prix,max_verstappen,9.0,red_bull,4.0
4,1111,120113.26388888889,2023,Dutch Grand Prix,alonso,117.0,aston_martin,5.0
815,1111,120131.65277777778,2023,Dutch Grand Prix,perez,9.0,red_bull,6.0
842,1111,120159.29166666667,2023,Dutch Grand Prix,gasly,214.0,alpine,7.0
832,1111,120235.44444444444,2023,Dutch Grand Prix,sainz,6.0,ferrari,8.0
1,1111,120244.72222222222,2023,Dutch Grand Prix,hamilton,131.0,mercedes,9.0
846,1111,120245.04166666667,2023,Dutch Grand Prix,norris,1.0,mclaren,10.0
848,1111,120271.75,2023,Dutch Grand Prix,albon,3.0,williams,11.0
857,1111,120291.54166666667,2023,Dutch Grand Prix,piastri,1.0,mclaren,12.0
839,1111,120316.06944444444,2023,Dutch Grand Prix,ocon,214.0,alpine,13.0
840,1111,120340.25,2023,Dutch Grand Prix,stroll,117.0,aston_martin,14.0
807,1111,120350.70833333333,2023,Dutch Grand Prix,hulkenberg,210.0,haas,15.0
852,1111,120407.0,2023,Dutch Grand Prix,tsunoda,213.0,alphatauri,16.0
859,1111,120424.41666666667,2023,Dutch Grand Prix,lawson,213.0,alphatauri,17.0
825,1111,120428.06944444444,2023,Dutch Grand Prix,kevin_magnussen,210.0,haas,18.0
822,1111,120441.65277777778,2023,Dutch Grand Prix,bottas,51.0,alfa,19.0
847,1111,120835.625,2023,Dutch Grand Prix,russell,131.0,mercedes,20.0
830,1112,86689.07843137255,2023,Italian Grand Prix,max_verstappen,9.0,red_bull,1.0
815,1112,86807.98039215687,2023,Italian Grand Prix,perez,9.0,red_bull,2.0
832,1112,86908.54901960785,2023,Italian Grand Prix,sainz,6.0,ferrari,3.0
844,1112,86912.1568627451,2023,Italian Grand Prix,leclerc,6.0,ferrari,4.0
847,1112,87042.56862745098,2023,Italian Grand Prix,russell,131.0,mercedes,5.0
1,1112,87427.88235294117,2023,Italian Grand Prix,hamilton,131.0,mercedes,6.0
848,1112,87573.50980392157,2023,Italian Grand Prix,albon,3.0,williams,7.0
846,1112,87580.23529411765,2023,Italian Grand Prix,norris,1.0,mclaren,8.0
4,1112,87596.80392156863,2023,Italian Grand Prix,alonso,117.0,aston_martin,9.0
822,1112,87945.07843137255,2023,Italian Grand Prix,bottas,51.0,alfa,10.0
857,1112,88023.86274509804,2023,Italian Grand Prix,piastri,1.0,mclaren,11.0
859,1112,88074.13725490196,2023,Italian Grand Prix,lawson,213.0,alphatauri,12.0
858,1112,88131.37254901961,2023,Italian Grand Prix,sargeant,3.0,williams,13.0
855,1112,88260.92156862745,2023,Italian Grand Prix,zhou,51.0,alfa,14.0
842,1112,88306.92156862745,2023,Italian Grand Prix,gasly,214.0,alpine,15.0
840,1112,88400.17647058824,2023,Italian Grand Prix,stroll,117.0,aston_martin,16.0
807,1112,88464.72,2023,Italian Grand Prix,hulkenberg,210.0,haas,17.0
825,1112,88675.34,2023,Italian Grand Prix,kevin_magnussen,210.0,haas,18.0
839,1112,89101.97435897436,2023,Italian Grand Prix,ocon,214.0,alpine,19.0
832,1113,103184.16129032258,2023,Singapore Grand Prix,sainz,6.0,ferrari,1.0
846,1113,103197.25806451614,2023,Singapore Grand Prix,norris,1.0,mclaren,2.0
1,1113,103204.62903225806,2023,Singapore Grand Prix,hamilton,131.0,mercedes,3.0
847,1113,103261.18032786885,2023,Singapore Grand Prix,russell,131.0,mercedes,4.0
844,1113,103525.7258064516,2023,Singapore Grand Prix,leclerc,6.0,ferrari,5.0
830,1113,103529.98387096774,2023,Singapore Grand Prix,max_verstappen,9.0,red_bull,6.0
842,1113,103804.17741935483,2023,Singapore Grand Prix,gasly,214.0,alpine,7.0
857,1113,103853.17741935483,2023,Singapore Grand Prix,piastri,1.0,mclaren,8.0
815,1113,104063.74193548386,2023,Singapore Grand Prix,perez,9.0,red_bull,9.0
859,1113,104247.35483870968,2023,Singapore Grand Prix,lawson,213.0,alphatauri,10.0
825,1113,104347.32258064517,2023,Singapore Grand Prix,kevin_magnussen,210.0,haas,11.0
848,1113,104368.30645161291,2023,Singapore Grand Prix,albon,3.0,williams,12.0
839,1113,104408.04761904762,2023,Singapore Grand Prix,ocon,214.0,alpine,13.0
855,1113,104533.33870967742,2023,Singapore Grand Prix,zhou,51.0,alfa,14.0
807,1113,104574.5,2023,Singapore Grand Prix,hulkenberg,210.0,haas,15.0
858,1113,104585.59677419355,2023,Singapore Grand Prix,sargeant,3.0,williams,16.0
4,1113,104597.1129032258,2023,Singapore Grand Prix,alonso,117.0,aston_martin,17.0
822,1113,105515.96078431372,2023,Singapore Grand Prix,bottas,51.0,alfa,18.0
