resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25951,1104,844,6,16,6,6,6,6,8,78,+1:01.890,6593870,46,2,01:15.8,158.541,1
25952,1104,842,214,10,7,7,7,7,6,78,+1:02.362,6594342,49,3,01:15.8,158.42,1
25953,1104,832,6,55,4,8,8,8,4,78,+1:03.391,6595371,43,5,01:16.4,157.14,1
25954,1104,846,1,4,10,9,9,9,2,77,\N,\N,46,19,01:17.8,154.324,11
25955,1104,857,1,81,11,10,10,10,1,77,\N,\N,47,14,01:17.5,154.983,11
25956,1104,822,51,77,15,11,11,11,0,77,\N,\N,19,18,01:17.8,154.363,11
25957,1104,856,213,21,12,12,12,12,0,77,\N,\N,43,15,01:17.6,154.887,11
25958,1104,855,51,24,19,13,13,13,0,77,\N,\N,5,11,01:16.9,156.165,11
25959,1104,848,3,23,13,14,14,14,0,77,\N,\N,24,8,01:16.7,156.683,11
25960,1104,852,213,22,9,15,15,15,0,76,\N,\N,36,16,01:17.7,154.649,12
25961,1104,815,9,11,20,16,16,16,0,76,\N,\N,5,4,01:16.3,157.51,12
25962,1104,807,210,27,18,17,17,17,0,76,\N,\N,6,12,01:17.0,156.033,12
25963,1104,858,3,2,16,18,18,18,0,76,\N,\N,32,13,01:17.3,155.406,12
25964,1104,825,210,20,17,\N,R,19,0,70,\N,\N,41,20,01:18.4,153.325,130
25965,1104,840,117,18,14,\N,R,20,0,53,\N,\N,18,17,01:17.8,154.472,3
25966,1105,830,9,1,1,1,1,1,26,66,27:57.9,5277940,61,1,01:16.3,219.641,1
25967,1105,1,131,44,4,2,2,2,18,66,24.09,5302030,62,3,01:16.7,218.649,1
25968,1105,847,131,63,12,3,3,3,15,66,32.389,5310329,48,5,01:17.9,215.283,1
25969,1105,815,9,11,11,4,4,4,12,66,35.812,5313752,52,2,01:16.7,218.678,1
25970,1105,832,6,55,2,5,5,5,10,66,45.698,5323638,60,11,01:18.4,213.833,1
25971,1105,840,117,18,5,6,6,6,8,66,+1:03.320,5341260,56,14,01:18.7,212.967,1
