qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
10223,1128,807,210,27,12,01:11:09,01:11:04,00:00:00
10224,1128,817,215,3,13,01:11:08,01:11:05,00:00:00
10225,1128,840,117,18,14,01:11:07,01:11:06,00:00:00
10226,1128,825,210,20,15,01:11:08,01:11:07,00:00:00
10227,1128,4,117,14,16,01:12:00,00:00:00,00:00:00
10228,1128,858,3,2,17,01:12:00,00:00:00,00:00:00
10229,1128,815,9,11,18,01:12:01,00:00:00,00:00:00
10230,1128,822,15,77,19,01:12:05,00:00:00,00:00:00
10231,1128,855,15,24,20,01:13:00,00:00:00,00:00:00
10232,1129,847,131,63,1,01:13:00,01:11:07,01:12:00
10233,1129,830,9,1,2,01:12:04,01:12:05,01:12:00
10234,1129,846,1,4,3,01:13:00,01:12:02,01:12:00
10235,1129,857,1,81,4,01:12:09,01:12:05,01:12:01
10236,1129,817,215,3,5,01:13:02,01:12:06,01:12:02
10237,1129,4,117,14,6,01:13:01,01:12:06,01:12:02
10238,1129,1,131,44,7,01:12:09,01:12:00,01:12:03
10239,1129,852,215,22,8,01:12:07,01:12:03,01:12:04
10240,1129,840,117,18,9,01:13:01,01:12:07,01:12:07
10241,1129,848,3,23,10,01:12:09,01:12:05,01:12:08
10242,1129,844,6,16,11,01:13:01,01:12:07,00:00:00
10243,1129,832,6,55,12,01:13:00,01:12:07,00:00:00
10244,1129,858,3,2,13,01:13:01,01:12:07,00:00:00
10245,1129,825,210,20,14,01:13:02,01:12:09,00:00:00
10246,1129,842,214,10,15,01:13:03,01:12:09,00:00:00
10247,1129,815,9,11,16,01:13:03,00:00:00,00:00:00
10248,1129,822,15,77,17,01:13:04,00:00:00,00:00:00
10249,1129,839,214,31,18,01:13:04,00:00:00,00:00:00
10250,1129,807,210,27,19,01:14:00,00:00:00,00:00:00
10251,1129,855,15,24,20,01:14:03,00:00:00,00:00:00
10252,1130,846,1,4,1,01:12:04,01:11:09,01:11:04
10253,1130,830,9,1,2,01:12:03,01:11:07,01:11:04
10254,1130,1,131,44,3,01:12:01,01:11:08,01:11:07
10255,1130,847,131,63,4,01:12:05,01:11:08,01:11:07
10256,1130,844,6,16,5,01:12:03,01:12:00,01:11:07
