raceId,adjusted_avg_laptime,year,DPS,driverRef,driverId,constructorRef,rank,inverse_adjustment_factor,avg_laptime,name
1111,106126.0887,2023,14,hulkenberg,807,haas,7,0.881806931,120350.7083,Dutch Grand Prix
1111,106154.3649,2023,13,gasly,842,alpine,8,0.883446993,120159.2917,Dutch Grand Prix
1111,106194.3063,2023,12,kevin_magnussen,825,haas,9,0.881806931,120428.0694,Dutch Grand Prix
1111,106292.8698,2023,11,ocon,839,alpine,10,0.883446993,120316.0694,Dutch Grand Prix
1111,113164.5627,2023,10,alonso,4,aston_martin,11,0.94214876,120113.2639,Dutch Grand Prix
1111,113363.367,2023,9,hamilton,1,mercedes,12,0.942772081,120244.7222,Dutch Grand Prix
1111,113378.4174,2023,8,stroll,840,aston_martin,13,0.94214876,120340.25,Dutch Grand Prix
1111,113920.4536,2023,7,russell,847,mercedes,14,0.942772081,120835.625,Dutch Grand Prix
1111,115723.9998,2023,6,albon,848,williams,15,0.962187711,120271.75,Dutch Grand Prix
1111,118571.286,2023,5,sainz,832,ferrari,16,0.98615917,120235.4444,Dutch Grand Prix
1111,119824.6045,2023,4,norris,846,mclaren,17,0.996503497,120245.0417,Dutch Grand Prix
1111,119870.9419,2023,3,piastri,857,mclaren,18,0.996503497,120291.5417,Dutch Grand Prix
1111,120061.2639,2023,2,max_verstappen,830,red_bull,19,1,120061.2639,Dutch Grand Prix
1111,120131.6528,2023,1,perez,815,red_bull,20,1,120131.6528,Dutch Grand Prix
1112,85965.22986,2023,20,alonso,4,aston_martin,1,0.981374046,87596.80392,Italian Grand Prix
1112,86491.88558,2023,19,bottas,822,alfa,2,0.983476132,87945.07843,Italian Grand Prix
1112,86527.54599,2023,18,max_verstappen,830,red_bull,3,0.998136646,86689.07843,Italian Grand Prix
1112,86582.8084,2023,17,gasly,842,alpine,4,0.9804759,88306.92157,Italian Grand Prix
1112,86611.39801,2023,16,russell,847,mercedes,5,0.99504644,87042.56863,Italian Grand Prix
1112,86646.22639,2023,15,perez,815,red_bull,6,0.998136646,86807.98039,Italian Grand Prix
1112,86683.48029,2023,14,albon,848,williams,7,0.989836772,87573.5098,Italian Grand Prix
1112,86753.63883,2023,13,stroll,840,aston_martin,8,0.981374046,88400.17647,Italian Grand Prix
1112,86802.50977,2023,12,zhou,855,alfa,9,0.983476132,88260.92157,Italian Grand Prix
1112,86908.54902,2023,11,sainz,832,ferrari,10,1,86908.54902,Italian Grand Prix
1112,86912.15686,2023,10,leclerc,844,ferrari,11,1,86912.15686,Italian Grand Prix
1112,86949.72785,2023,9,hulkenberg,807,haas,12,0.982874618,88464.72,Italian Grand Prix
1112,86984.8196,2023,8,norris,846,mclaren,13,0.993201483,87580.23529,Italian Grand Prix
1112,86991.48037,2023,7,lawson,859,alphatauri,14,0.987707437,88074.13725,Italian Grand Prix
1112,86994.80306,2023,6,hamilton,1,mercedes,15,0.99504644,87427.88235,Italian Grand Prix
1112,87156.74091,2023,5,kevin_magnussen,825,haas,16,0.982874618,88675.34,Italian Grand Prix
1112,87235.67335,2023,4,sargeant,858,williams,17,0.989836772,88131.37255,Italian Grand Prix
1112,87362.3385,2023,3,ocon,839,alpine,18,0.9804759,89101.97436,Italian Grand Prix
1112,87425.43105,2023,2,piastri,857,mclaren,19,0.993201483,88023.86275,Italian Grand Prix
1113,102326.2766,2023,20,norris,846,mclaren,1,0.991560033,103197.2581,Singapore Grand Prix
1113,102676.7618,2023,19,albon,848,williams,2,0.983792545,104368.3065,Singapore Grand Prix
1113,102684.1507,2023,18,max_verstappen,830,red_bull,3,0.991830065,103529.9839,Singapore Grand Prix
1113,102890.5304,2023,17,sargeant,858,williams,4,0.983792545,104585.5968,Singapore Grand Prix
1113,102894.708,2023,16,zhou,855,alfa,5,0.984324324,104533.3387,Singapore Grand Prix
1113,102922.0315,2023,15,hamilton,1,mercedes,6,0.997261774,103204.629,Singapore Grand Prix
1113,102928.0736,2023,14,gasly,842,alpine,7,0.991560033,103804.1774,Singapore Grand Prix
1113,102976.66,2023,13,piastri,857,mclaren,8,0.991560033,103853.1774,Singapore Grand Prix
1113,102978.4279,2023,12,russell,847,mercedes,9,0.997261774,103261.1803,Singapore Grand Prix
1113,103184.1613,2023,11,sainz,832,ferrari,10,1,103184.1613,Singapore Grand Prix
1113,103213.548,2023,10,perez,815,red_bull,11,0.991830065,104063.7419,Singapore Grand Prix
1113,103255.0629,2023,9,lawson,859,alphatauri,12,0.990481371,104247.3548,Singapore Grand Prix
1113,103264.485,2023,8,alonso,4,aston_martin,13,0.98725942,104597.1129,Singapore Grand Prix
1113,103525.7258,2023,7,leclerc,844,ferrari,14,1,103525.7258,Singapore Grand Prix
1113,103526.8471,2023,6,ocon,839,alpine,15,0.991560033,104408.0476,Singapore Grand Prix
1113,103607.6742,2023,5,kevin_magnussen,825,haas,16,0.992911668,104347.3226,Singapore Grand Prix
1113,103833.2413,2023,4,hulkenberg,807,haas,17,0.992911668,104574.5,Singapore Grand Prix
1113,103861.9268,2023,3,bottas,822,alfa,18,0.984324324,105515.9608,Singapore Grand Prix
1114,102929.3847,2023,20,alonso,4,aston_martin,1,0.985923268,104398.9811,Japanese Grand Prix
1114,102989.0755,2023,19,max_verstappen,830,red_bull,2,1,102989.0755,Japanese Grand Prix
1114,103055.1731,2023,18,hamilton,1,mercedes,3,0.991671294,103920.6981,Japanese Grand Prix
1114,103123.9073,2023,17,norris,846,mclaren,4,0.997765363,103354.8679,Japanese Grand Prix
